,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10,Book 11,Book 12
line200,"There let him reign, the Jailor of the Wind:","Forget the Greeks, be mine as thou wert theirs.","And to what Clime, our weary Course direct.","Then young Ascanius, with a sprightly Grace,","Gyas outstrip'd the rest, and sprung before;",Possess the middle space: Th' Infernal Bounds,"The Coasts, and Trendings of the crooked Shore:","In Council cautious, and in Fields we dare.",To keep the Nightly Guard; to watch the Walls;,"The Care of Venus, and the Hope of Troy.","The rest impower'd, that soon a Truce is made.","Now, studious of the sight, a num'rous Throng"
line201,"With hoarse Commands his breathing Subjects call,","But truly tell, was it for Force or Guile,","'Twas Night, when ev'ry Creature, void of Cares,",Leads on the Trojan Youth to view the Chace.,"Cloanthus, better mann'd, pursu'd him fast;","Cocytus, with his sable Waves, surrounds.","Here Tyber flows, and here Numicus stands,","He said; and while he spoke, with piercing Eyes,","To pitch the Fires at Distances around,","His lovely Face unarm'd, his Head was bare,","Twelve days the term allow'd: And during those,","Of either Sex promiscuous, old and young,"
line202,And boast and bluster in his empty Hall.,"Or some Religious End, you rais'd the Pile?",The common gift of balmy Slumber shares:,But far above the rest in beauty shines,But his o're-masted Gally check'd his Haste.,But if so dire a Love your Soul invades;,Here warlike Latins hold the happy Lands.,Evander view'd the Man with vast surprize.,And close the Trojans in their scanty Ground.,In ringlets o're his Shoulders hung his Hair.,"Latians and Trojans, now no longer Foes,","Swarm from the Town: By those who rest behind,"
line203,"He spoke: And while he spoke, he smooth'd the Sea,","Thus said the King. He full of fraudful Arts,","The Statues of my Gods, (for such they seem'd)","The great Aeneas, when the Troop he joins:","The Centaur, and the Dolphin, brush the brine",As twice below to view the trembling Shades;,"The Pious Chief, who sought by peaceful Ways,","Pleas'd with his Action, ravish'd with his Face,",Twice seven Rutulian Captains ready stand;,His Forehead circled with a Diadem;,"Mix'd in the Woods, for Fun'ral Piles prepare,","The Gates and Walls, and Houses tops are lin'd."
line204,"Dispell'd the Darkness, and restor'd the Day:",This well invented Tale for Truth imparts.,"Those Gods whom I from flaming Troy redeem'd,","Like fair Apollo, when he leaves the frost","With equal Oars, advancing in a Line:","If you so hard a Toil will undertake,","To found his Empire, and his Town to raise;","Then answer'd briefly, with a Royal grace.",And twice seven hundred Horse these Chiefs command:,"Distinguish'd from the Crowd, he shines a Gem,","To fell the Timber, and forget the War.","Mean time the Queen of Heav'n beheld the sight,"
line205,"Cymothoe, Triton, and the Sea-green Train","Ye Lamps of Heav'n! he said, and lifted high","Before me stood; Majestically bright,","Of wintry Xanthus, and the Lycian Coast;","And now the mighty Centaur seems to lead,",As twice to pass th' innavigable Lake;,A hundred Youths from all his Train elects;,"O Valiant Leader of the Trojan Line,",All clad in shining Arms the Works invest;,"Enchas'd in Gold, or Polish'd Iv'ry set,",Loud Axes thro' the groaning Groves resound:,"With Eyes unpleas'd, from Mount Albano's height:"
line206,"Of beauteous Nymphs, the Daughters of the Main,","His hands now free, thou venerable Sky,",Full in the Beams of Phoebe's entring light.,"When to his Native Delos he resorts,",And now the speedy Dolphin gets a head:,Receive my Counsel. In the Neighb'ring Grove,And to the Latian Court their Course directs:,In whom the Features of thy Father shine;,"Each with a radiant Helm, and waving Crest.",Amidst the meaner foil of sable Jett.,"Oak, Mountain Ash, and Poplar, spread the Ground:","(Since call'd Albano, by succeeding Fame,"
line207,Clear from the Rocks the Vessels with their hands;,"Inviolable Pow'rs, ador'd with dread,",Then thus they spoke; and eas'd my troubled Mind:,"Ordains the Dances, and renews the Sports:",Now Board to Board the rival Vessels row;,There stands a Tree; the Queen of Stygian Jove,(The spacious Palace where their Prince resides;),"How I recall Anchises, how I see","Stretch'd at their length, they press the grassy Ground;","Nor Ismarus was wanting to the War,","Firrs fall from high: And some the Trunks receive,","But then an empty Hill, without a Name.)"
line208,"The God himself with ready Trident stands,","Ye fatal Fillets, that once bound this head,","What from the Delian God thou go'st to find,","Where painted Scythians, mix'd with Cretan Bands,","The Billows lave the Skies, and Ocean groans below.","Claims it her own; thick Woods, and gloomy Night,",And all their heads with Wreaths of Olive hides.,"His Motions, Meen, and all my Friend in thee!","They laugh, they sing, the jolly Bowls go round:",Directing Ointed Arrows from afar;,"In Loaden Wains, with Wedges some they cleave.","She thence survey'd the Field, the Trojan Pow'rs,"
line209,"And opes the Deep, and spreads the moving sands;","Ye sacred Altars, from whose flames I fled!",He tells thee here; and sends us to relate:,Before the joyful Altars join their Hands.,"They reach'd the Mark; proud Gyas and his Train,",Conceal the happy Plant from Humane sight.,They go commission'd to require a Peace;,"Long tho it be, 'tis fresh within my Mind,","With Lights, and chearful Fires renew the Day;","And Death with Poyson arm'd: In Lydia born,","And now the Fatal News, by Fame is blown","The Latian Squadrons, and Laurentine Tow'rs."
line210,Then heaves them off the sholes: where e're he guides,"Be all of you adjur'd; and grant I may,","Those Pow'rs are we, Companions of thy Fate,","Himself, on Cynthus walking, sees below",In Triumph rode the Victors of the Main:,"One Bough it bears; but, wond'rous to behold;",And carry Presents to procure Access.,"When Priam, to his Sister's Court design'd",And pass the wakeful Night in Feasts and Play.,Where plenteous Harvests the fat Fields adorn:,"Thro' the short Circuit of th' Arcadian Town,","Then thus the Goddess of the Skies bespake,"
line211,"His finny Coursers, and in Triumph rides,","Without a Crime, th' ungrateful Greeks betray!",Who from the burning Town by thee were brought;,The merry Madness of the sacred Show.,"But steering round, he charg'd his Pilot stand","The ductile Rind, and Leaves, of Radiant Gold:","Thus while they speed their Pace, the Prince designs","A welcome Visit, with a friendly stay;","The Trojans, from above, their Foes beheld;","Where proud Pactolus floats the fruitful Lands,","Of Pallas slain: By Fame, which just before","With Sighs and Tears, the Goddess of the Lake;"
line212,The Waves unruffle and the Sea subsides.,"Reveal the Secrets of the guilty State,","Thy Fortune follow'd, and thy safety wrought.","Green Wreaths of Bays his length of Hair inclose,","More close to Shore, and skim along the Sand.","This, from the vulgar Branches must be torn,","His new elected Seat, and draws the Lines:","And, through th' Arcadian Kingdom took his way.",And with arm'd Legions all the Rampires fill'd:,And leaves a rich manure of Golden Sands.,His Triumphs on distended Pinions bore.,"King Turnus Sister, once a lovely Maid,"
line213,"As when in Tumults rise th' ignoble Crow'd,",And justly punish whom I justly hate!,"Through Seas and Lands, as we thy Steps attend,",A Golden Fillet binds his awful Brows:,"Let others bear to Sea. Menaetes heard,","And to fair Proserpine, the Present born:","The Trojans round the place a Rampire cast,","Then, past a Boy, the callow Down began","Seiz'd with Affright, their Gates they first explore,","There Capys, Author of the Capuan Name:","Rushing from out the Gate, the People stand,",E're to the Lust of lawless Jove betray'd:
line214,"Mad are their Motions, and their Tongues are loud;","But you, O King, preseve the Faith you gave,",So shall our Care thy Glorious Race befriend.,His Quiver sounds: Not less the Prince is seen,But secret shelves too cautiously he fear'd:,E're leave be giv'n to tempt the neather Skies:,And Palisades about the Trenches plac'd.,"To shade my Chin, and call me first a Man.",Join Works to Works with Bridges; Tow'r to Tow'r:,And there was Mnestheus too increas'd in Fame:,Each with a Fun'ral Flambeau in his hand:,"Compress'd by Force, but by the grateful God,"
line215,"And Stones and Brands in ratling Vollies fly,",If I to save my self your Empire save.,An ample Realm for thee thy Fates ordain;,"In manly Presence, or in lofty Meen.","And fearing, sought the Deep; and still aloof he steer'd.","The first thus rent, a second will arise;","Mean time the Train, proceeding on their way,","I saw the shining Train, with vast delight,","Thus all things needful for Defence, abound;",Since Turnus from the Camp He cast with shame.,"Wildly they stare, distracted with amaze:",Now made the Nais of the neighb'ring Flood.
line216,And all the Rustick Arms that Fury can supply:,"The Grecian Hopes, and all th' Attempts they made,","A Town, that o're the conquer'd World shall reign.","Now had they reach'd the Hills, and storm'd the Seat",With louder Cries the Captain call'd again;,And the same Metal the same room supplies.,"From far the Town, and lofty Tow'rs survey:",And Priam's goodly Person pleas'd my sight:,"Mnestheus, and brave Seresthus walk the round:","Thus Mortal War was wag'd on either side,","The Fields are lighten'd with a fiery blaze,","O Nymph, the Pride of living Lakes, said she,"
line217,"If then some grave and Pious Man appear,",Were only founded on Minerva's Aid.,"Thou, mighty Walls for mighty Nations build;","Of salvage Beasts, in Dens, their last Retreat;","Bear to the rocky Shore, and shun the Main.","Look round the Wood, with lifted Eyes, to see",At length approach the Walls: without the Gate,"But great Anchises, far above the rest,","Commission'd by their Absent Prince, to share",Mean time the Heroe cuts the Nightly Tyde.,"That cast a sullen Splendor on their Friends,","O most renown'd, and most belov'd by me,"
line218,"They hush their Noise, and lend a list'ning Ear;","But from the time when impious Diomede,",Nor let thy weary Mind to Labours yield:,The Cry pursues the Mountain-Goats; they bound,"He spoke, and speaking at his stern he saw",The lurking Gold upon the fatal Tree:,"They see the Boys, and Latian Youth debate",With awful Wonder fir'd my Youthful Breast.,"The common Danger, and divide the Care.","For, anxious, from Evander when he went,",(The marching Troop which their dead Prince attends.),"Long hast thou known, nor need I to record"
line219,"He sooths with sober Words their angry Mood,","And false Ulysses, that inventive Head,","But change thy Seat; for not the Delian God,","From Rock to Rock, and keep the craggy Ground:",The bold Cloanthus near the Shelvings draw;,"Then rend it off, as holy Rites command:",The Martial Prizes on the dusty Plain;,"I long'd to join, in Friendship's holy Bands,","The Souldiers draw their Lots; and as they fall,","He sought the Tyrrhene Camp, and Tarchon's Tent;",Both Parties meet: They raise a doleful Cry:,The wanton sallies of my wand'ring Lord:
line220,And quenches their innate Desire of Blood.,"Her fatal Image from the Temple drew,","Nor we, have giv'n thee Crete for our Abode.","Quite otherwise the Stags, a trembling Train,","Betwixt the mark and him the Scylla stood,","The willing Metal will obey thy hand,","Some drive the Cars, and some the Coursers rein:","Our mutual Hearts, and plight our mutual Hands.",By turns relieve each other on the Wall.,Expos'd the Cause of coming to the Chief;,The Matrons from the Walls with shrieks reply;,"Of ev'ry Latian fair, whom Jove mis-led,"
line221,"So when the Father of the Flood appears,","The sleeping Guardians of the Castle slew,","A Land there is, Hesperia call'd of old,","In Herds unsingl'd, scour the dusty Plain;","And in a closer Compass plow'd the Flood,","Following with ease, if, favour'd by thy Fate,",Some bend the stubborn Bow for Victory;,"I first accosted him: I su'd, I sought,","Nigh where the Foes their utmost Guards advance,","His Name, and Country told, and ask'd Relief:",And their mix'd mourning rends the vaulted Sky.,"To mount by Stealth my violated Bed,"
line222,"And o're the Seas his Sov'raign Trident rears,",Her Virgin Statue with their bloody Hands,"The Soil is fruitful, and the Natives bold.","And a long Chace, in open view, maintain.",He pass'd the Mark; and wheeling got before;,Thou art foredoom'd to view the Stygian State:,And some with Darts their active Sinews try.,"And, with a loving force, to Pheneus brought.","To watch the Gate, was warlike Nisus chance.","Propos'd the Terms; his own small strength declar'd,",The Town is fill'd with Tumult and with Tears;,To thee alone I grudg'd not his Embrace;
